SGDID	GeneID	Alias	GO Term
YAL007C	ERP2	ERP2	GO:0003674,GO:0005783,GO:0006621,GO:0006888,GO:0030134,SO:0000704
YAL005C	SSA1	SSA1,YG100	GO:0000049,GO:0000209,GO:0000329,GO:0002181,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005829,GO:0005844,GO:0005886,GO:0006457,GO:0006606,GO:0006606,GO:0006616,GO:0006626,GO:0009277,GO:0016887,GO:0016887,GO:0035617,GO:0042026,GO:0042026,GO:0043161,GO:0043161,GO:0051082,GO:0072318,GO:0072671,GO:0090344,SO:0000704
YAL004W	YAL004W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL003W	EFB1	EFB1,EF-1beta,TEF5,eEF1Balpha	GO:0005085,GO:0005853,GO:0006414,GO:0006449,GO:0032232,GO:1990145,SO:0000704
YAL002W	VPS8	VPS8,FUN15,VPL8,VPT8	GO:0005770,GO:0006623,GO:0016020,GO:0032511,GO:0033263,GO:0043495,GO:0051020,GO:0051020,SO:0000704
YAL001C	TFC3	TFC3,FUN24,TSV115	GO:0000127,GO:0000127,GO:0000127,GO:0000127,GO:0001002,GO:0001002,GO:0001003,GO:0005739,GO:0005739,GO:0006383,GO:0006383,GO:0006383,GO:0008301,GO:0042791,GO:0042791,GO:0071168,SO:0000704
YAR002W	NUP60	NUP60	GO:0000972,GO:0000972,GO:0000972,GO:0000973,GO:0005543,GO:0005634,GO:0005643,GO:0005829,GO:0006302,GO:0006607,GO:0006607,GO:0006611,GO:0006913,GO:0008298,GO:0016973,GO:0016973,GO:0017056,GO:0017056,GO:0017056,GO:0030466,GO:0031990,GO:0034398,GO:0034398,GO:0044613,GO:0044615,GO:0051276,GO:0060188,SO:0000704
YAR002C-A	ERP1	ERP1	GO:0003674,GO:0005739,GO:0005739,GO:0006621,GO:0006888,GO:0006888,GO:0030134,SO:0000704
YAR003W	SWD1	SWD1,CPS50,FUN16,SAF49	GO:0000723,GO:0006355,GO:0031509,GO:0031509,GO:0031509,GO:0042800,GO:0042800,GO:0042800,GO:0042800,GO:0048188,GO:0048188,GO:0048188,GO:0051568,GO:0051568,GO:0051568,GO:0051568,GO:0051568,SO:0000704
YAR007C	RFA1	RFA1,BUF2,FUN3,RPA1,RPA70	GO:0000722,GO:0000724,GO:0000781,GO:0000794,GO:0003690,GO:0003697,GO:0003729,GO:0005634,GO:0005662,GO:0005737,GO:0005829,GO:0006260,GO:0006265,GO:0006268,GO:0006281,GO:0006289,GO:0006312,GO:0007004,GO:0007131,GO:0010833,GO:0016567,GO:0016567,GO:0030491,GO:0043565,GO:0045184,SO:0000704
YAR008W	SEN34	SEN34,FUN4	GO:0000213,GO:0000213,GO:0000214,GO:0000379,GO:0000379,GO:0005739,GO:0005741,SO:0000704
YAR014C	BUD14	BUD14	GO:0000131,GO:0005634,GO:0005737,GO:0005934,GO:0005935,GO:0006355,GO:0006355,GO:0007010,GO:0008360,GO:0019888,GO:0019888,GO:0030837,GO:0030837,GO:0030837,GO:0032465,GO:0032880,GO:0060627,GO:0090337,GO:1990615,SO:0000704
YAR015W	ADE1	ADE1	GO:0004639,GO:0004639,GO:0004639,GO:0005634,GO:0005737,GO:0006164,GO:0006164,GO:0006164,GO:0006189,GO:0006189,GO:0006189,SO:0000704
YAR018C	KIN3	KIN3,FUN52,NPK1	GO:0004672,GO:0005575,GO:0006468,GO:0007059,SO:0000704
YAR019C	CDC15	CDC15,LYT1,RLT1	GO:0000281,GO:0004672,GO:0004674,GO:0004674,GO:0004674,GO:0005737,GO:0005816,GO:0005816,GO:0005935,GO:0006468,GO:0006468,GO:0007096,GO:0018105,GO:0018105,GO:0018107,GO:0018107,GO:0051229,GO:0051229,GO:1903024,GO:1903024,GO:1904750,SO:0000704
YAR019W-A	YAR019W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR020C	PAU7	PAU7	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR023C	YAR023C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR027W	UIP3	UIP3	GO:0000329,GO:0003674,GO:0005635,GO:0008150,SO:0000704
YAR028W	YAR028W	-	GO:0000329,GO:0000329,GO:0003674,GO:0008150,SO:0000704
YAR029W	YAR029W	-	GO:0003674,GO:0005737,GO:0008150,SO:0000704
YAR030C	YAR030C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
